word	file	lines
BqY	rnaseq_de_student-guide.qmd	65,71,77,93,99,106,114
br	rnaseq_de.qmd	54
DaC	rnaseq_de_student-guide.qmd	65,71,77,93,99,106,114
dAzC	rnaseq_de_student-guide.qmd	143
dAzC	rnaseq_de.qmd	73
ddcow	rnaseq_de_student-guide.qmd	131,133
ddcow	rnaseq_de.qmd	61,63
de	rnaseq_de.qmd	53,55
de	modules.qmd	9
dotplot	rnaseq_de_student_use.Rmd	134,138
dotplot	rnaseq_de_student-guide.qmd	235,240
DV	rnaseq_de_student-guide.qmd	141
DV	rnaseq_de.qmd	71
eCi	rnaseq_de_student-guide.qmd	65,71,77,93,99,106,114
eee	rnaseq_de_student-guide.qmd	71
eHpoarGjlGNC	rnaseq_de_student-guide.qmd	139
eHpoarGjlGNC	rnaseq_de.qmd	69
eO	rnaseq_de_student-guide.qmd	141
eO	rnaseq_de.qmd	71
eval	rnaseq_de_student-guide.qmd	163,173,185,194,202,207,212,220,228,237,247,253
eWbB	rnaseq_de_student-guide.qmd	127
eWbB	rnaseq_de.qmd	57
GenBank	rnaseq_de_student-guide.qmd	48
Gva	rnaseq_de_student-guide.qmd	135
Gva	rnaseq_de.qmd	65
hNEv	rnaseq_de_student-guide.qmd	143
hNEv	rnaseq_de.qmd	73
homolog	rnaseq_de_student-guide.qmd	96,98
homologs	rnaseq_de_student-guide.qmd	96,98
IdtpRUcTpqCD	rnaseq_de_student-guide.qmd	131,133
IdtpRUcTpqCD	rnaseq_de.qmd	61,63
jax	rnaseq_de_student-guide.qmd	40,60
jax	rnaseq_de.qmd	47
jEsHL	rnaseq_de_student-guide.qmd	141
jEsHL	rnaseq_de.qmd	71
jKN	rnaseq_de_student-guide.qmd	135
jKN	rnaseq_de.qmd	65
mij	rnaseq_de_student-guide.qmd	139
mij	rnaseq_de.qmd	69
nV	rnaseq_de_student-guide.qmd	143
nV	rnaseq_de.qmd	73
ottrpal	rnaseq_de_student-guide.qmd	8,65,71,77,93,99,106,114
ottrpal	rnaseq_de.qmd	8
padj	rnaseq_de_student_use.Rmd	129,148
padj	rnaseq_de_student-guide.qmd	229,254
plaz	rnaseq_de_student-guide.qmd	131,133
plaz	rnaseq_de.qmd	61,63
plotAcrossRegions	rnaseq_de_student_use.Rmd	144
plotAcrossRegions	rnaseq_de_student-guide.qmd	248
pmc	rnaseq_de_student-guide.qmd	21,32
pmc	rnaseq_de.qmd	26,39
pseudogene	rnaseq_de_student-guide.qmd	83
readCounts	rnaseq_de_student_use.Rmd	98,105,110,113,116,123
readCounts	rnaseq_de_student-guide.qmd	186,187,195,196,203,208,213,221
rh	rnaseq_de_student-guide.qmd	143
rh	rnaseq_de.qmd	73
RoDiq	rnaseq_de_student-guide.qmd	127
RoDiq	rnaseq_de.qmd	57
runClusterProfiler	rnaseq_de_student_use.Rmd	136
runClusterProfiler	rnaseq_de_student-guide.qmd	235,238
showCategory	rnaseq_de_student_use.Rmd	138
showCategory	rnaseq_de_student-guide.qmd	240
shtml	rnaseq_de_student-guide.qmd	40,60
sig	rnaseq_de_student_use.Rmd	129,136
sig	rnaseq_de_student-guide.qmd	229,230,238
TAcFHmXn	rnaseq_de_student-guide.qmd	139
TAcFHmXn	rnaseq_de.qmd	69
tOIRMqy	rnaseq_de_student-guide.qmd	143
tOIRMqy	rnaseq_de.qmd	73
UnYkudcESWuvoF	rnaseq_de_student-guide.qmd	141
UnYkudcESWuvoF	rnaseq_de.qmd	71
uRe	rnaseq_de_student-guide.qmd	135
uRe	rnaseq_de.qmd	65
usingMGI	rnaseq_de_student-guide.qmd	60
usp	rnaseq_de_student-guide.qmd	127,131,133,135,139,141,143
usp	rnaseq_de.qmd	57,61,63,65,69,71,73
uw	rnaseq_de_student-guide.qmd	65,71,77,93,99,106,114
UWoWNEGxFukMB	rnaseq_de_student-guide.qmd	65,71,77,93,99,106,114
vikcyml	rnaseq_de_student-guide.qmd	65,71,77,93,99,106,114
wrx	rnaseq_de_student-guide.qmd	139
wrx	rnaseq_de.qmd	69
wS	rnaseq_de_student-guide.qmd	127
wS	rnaseq_de.qmd	57
XvR	rnaseq_de_student-guide.qmd	135
XvR	rnaseq_de.qmd	65
yDb	rnaseq_de_student-guide.qmd	135
yDb	rnaseq_de.qmd	65
yFpS	rnaseq_de_student-guide.qmd	65,71,77,93,99,106,114
YHVinmbuLRHCoGQ	rnaseq_de_student-guide.qmd	127
YHVinmbuLRHCoGQ	rnaseq_de.qmd	57
YpK	rnaseq_de_student-guide.qmd	143
YpK	rnaseq_de.qmd	73
Zdw	rnaseq_de_student-guide.qmd	135
Zdw	rnaseq_de.qmd	65
ZtmEd	rnaseq_de_student-guide.qmd	131,133
ZtmEd	rnaseq_de.qmd	61,63
